"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: output"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",16,3,48824.122211,15059.279433,"ops/s",
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",16,3,27550.501236,6051.721463,"ops/s",
"com.mitchellbosecke.benchmark.JMustache.benchmark","thrpt",16,3,115961.625751,2413.970994,"ops/s",
"com.mitchellbosecke.benchmark.JStachio.benchmark","thrpt",16,3,455195.501751,72318.984428,"ops/s",
"com.mitchellbosecke.benchmark.JStachioContext.benchmark","thrpt",16,3,124856.910807,14080.503722,"ops/s",
"com.mitchellbosecke.benchmark.Jte.benchmark","thrpt",16,3,188805.244295,24702.349432,"ops/s",
"com.mitchellbosecke.benchmark.Minum.benchmark","thrpt",16,3,102122.465262,3575.630296,"ops/s",
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",16,3,96062.666616,14845.707792,"ops/s",
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",16,3,91794.834533,5146.544385,"ops/s",
"com.mitchellbosecke.benchmark.Qute.benchmark","thrpt",16,3,47007.358328,5358.706892,"ops/s",
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",16,3,213602.186694,30959.340064,"ops/s",
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",16,3,17099.856526,3069.492975,"ops/s",
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",16,3,92234.964542,4396.015086,"ops/s",
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",16,3,58910.685835,2086.079480,"ops/s",
"com.mitchellbosecke.benchmark.utf8.JStachioUtf8.benchmark","thrpt",16,3,168867.432330,21251.019464,"ops/s",ARRAY
"com.mitchellbosecke.benchmark.utf8.JStachioUtf8.benchmark","thrpt",16,3,183681.089599,16676.625315,"ops/s",CHUNK
"com.mitchellbosecke.benchmark.utf8.JteUtf8.benchmark","thrpt",16,3,164501.393688,10010.025217,"ops/s",ARRAY
"com.mitchellbosecke.benchmark.utf8.JteUtf8.benchmark","thrpt",16,3,168029.214578,28933.116141,"ops/s",CHUNK
"com.mitchellbosecke.benchmark.utf8.RockerUtf8.benchmark","thrpt",16,3,170079.720869,27397.522874,"ops/s",ARRAY
"com.mitchellbosecke.benchmark.utf8.RockerUtf8.benchmark","thrpt",16,3,182776.487605,12845.279594,"ops/s",CHUNK
"com.mitchellbosecke.benchmark.utf8.StringGetBytesUtf8.benchmark","thrpt",16,3,280451.393470,35668.259279,"ops/s",N/A
